,Разделы,,Вопросы,Ответы,,
,,,Какие задачи?,"Классификация, Поиск объекта(Детектирование), выделение границ (Сегментация), Оценка глубины, Получение текстового описания, распознавание текста(OCR), Подсчет чего-либо(Density estimation)",,
,Задачи CV,,,,,
,,,,,,
,Классический ML,,,,,
,,KNN,Опишите алгоритм,,,
,,,Как из картинки сделать вектор?,,,
,,,Примеры функций для оценки расстояний,,,
,,,На что влияет количество соседей?,,,
,,,Связь количества соседей с bias and variance?,,,
,,,"Скорость, применимость на практике",,,
,,,Какую реализацию использовать,,,
,Кластеризация,"K-means, ",Опишите алгоритм,"1. Выбрали центры 2. Нашли все объекты ближайшие к центру 3. Посчитали по ним среднее - это новый центр. 4) Если разница между новым и старым центром больше порога повторяем шаги 2,3",https://scikit-learn.org/stable/modules/clustering.html#k-means,
,,,Параметры,"Количество кластеров, способ их инициализации (k means++)",https://scikit-learn.org/stable/modules/generated/sklearn.cluster.KMeans.html,
,,,Проблемы/особенности,"выделяет только выпуклые кластеры, нужно значть их число",,
,,DB-Scan,Опишите алгоритм,"Находим объекты у которых больше min_samples соседей, на расстоянии eps, из этих объектов и их соседей формируем кластеры. Объекты у которых нет соседей в кластере - выбросы.",https://scikit-learn.org/stable/modules/clustering.html#dbscan,
,,,Параметры,"min_samples and eps,",,
,,,Проблемы/особенности,"работает с кластерами любой формы, результат зависит от порядка данных на входе, n^2 памяти при наивной реализации.",,
,Линейные модели,,Как использовать с большими данными?,,,
,,Loss,Что это?,Диффиренцируемая(можно взять производную) скалярная(возвращает одно число) функция. Позволяет оценить насколько плохо работает модель. Чем меньше тем лучше. Обычно стремяться сделать loss > 0. На вход получает предсказание модели и часто но не обязательно gt. ,,
,,,Примеры для разных задач,"Классификация: Hinge, Log, Loss, CrossEntropy  Регрессия: MAE, MSE Сегментация: DICE/IoU Детектирование: mAP MetricLearning: CosineLoss, TripletLoss",,
,,Линейная регресиия.,Что это?,"y=wx+b  y- предсказание (число), x- вектор признаков, w, b- веса(параметры модели). Или нейрон без активации.",,
,,Логистическая регресия,Что это?,Линейная регрессия + сигмоида (нейрон с активацией). Учится с LogLoss,sklearn.linear_model.LogisticRegression — scikit-learn 1.4.2 documentation,
,,Линейный классификатор,Что это?,Несколько линейных регрессий (нейронов) учиться с CrossEntropy,,
,,градиентный спуск,,"Считаем градиент loss (частные производные)  по весам, вычитаем из каждого веса его произодную умноженную на недольшое число(шаг обучения/lr)",,
,,,,,,
,,,,,,
,,Метрики,,"Как и loss метрика дает численную интерпретируемую(понятную человеку) оценку работы модели. Метрика может быть не дифференцируемой. Дифференцируемые метрики могут использоваться в качестве loss (MAE,MSE,IoU)",,
